t,theta_rad,omega_sc,omega_rw,T_dist,T_applied,T_des,yaw_err_deg
0.0,0.08726746260640984,5.000033466827595e-05,-0.01,3.34668275949428e-10,5e-05,5e-05,24.999942703836982
0.02,0.08726946273018363,0.0001000061886892118,-0.02,5.854020935851225e-09,5e-05,5e-05,24.99982810518624
0.04,0.08727246290955346,0.00015000896849142083,-0.03,2.7798022090377346e-09,5e-05,5e-05,24.999656207570567
0.06,0.08727646319283766,0.00020001416421027292,-0.04,5.195718852098068e-09,5e-05,5e-05,24.999427008221527
0.08,0.08728146355524315,0.00025001812027396355,-0.05,3.956063690611707e-09,5e-05,5e-05,24.999140508559655
0.1,0.08728746389893996,0.0003000171848405736,-0.060000000000000005,-9.354333899768056e-10,5e-05,5e-05,24.998796714190203
0.12,0.08729446426893382,0.0003500184996933763,-0.07,1.3148528027292453e-09,5e-05,5e-05,24.99839562253452
0.14,0.08730246475215096,0.0004000241608569091,-0.08,5.661163532749031e-09,5e-05,5e-05,24.997937228612113
0.16,0.08731146521548568,0.00045002316673545164,-0.09,-9.941214574499974e-10,5e-05,5e-05,24.997421540049373
0.18,0.08732146572254569,0.0005000253530006612,-0.09999999999999999,2.1862652095856575e-09,5e-05,5e-05,24.996848553201843
0.2,0.08733246621445036,0.0005500245952334013,-0.10999999999999999,-7.577672598978378e-10,5e-05,5e-05,24.99621827144314
0.22,0.0873444666911107,0.0006000238330173342,-0.11999999999999998,-7.622160670222627e-10,5e-05,5e-05,24.995530694778353
0.24,0.08735746704681209,0.0006500177850692835,-0.12999999999999998,-6.047948050800495e-09,5e-05,5e-05,24.994785829264497
0.26,0.08737146735949658,0.0007000156342243755,-0.13999999999999999,-2.1508449079144975e-09,5e-05,5e-05,24.993983670435814
0.28,0.08738646769560364,0.0007500168053532534,-0.15,1.171128877961498e-09,5e-05,5e-05,24.9931242144856
0.3,0.08740246807571594,0.0008000190056155729,-0.16,2.2002623194576867e-09,5e-05,5e-05,24.99220746023456
0.32,0.08741946842155411,0.0008500172919081665,-0.17,-1.713707406433051e-09,5e-05,5e-05,24.99123341216777
0.34,0.08743746874356842,0.0009000161007155232,-0.18000000000000002,-1.1911926432884835e-09,5e-05,5e-05,24.990202069686475
0.36,0.08745646910825852,0.0009500182345052858,-0.19000000000000003,2.133789762652632e-09,5e-05,5e-05,24.98911342898052
0.38,0.08747646955256425,0.0010000222152859914,-0.20000000000000004,3.980780705737058e-09,5e-05,5e-05,24.987967487933417
0.4,0.08749746999213276,0.0010500219784256352,-0.21000000000000005,-2.368603563637392e-10,5e-05,5e-05,24.986764251378222
0.42,0.08751947041544117,0.0011000211654204302,-0.22000000000000006,-8.130052049977388e-10,5e-05,5e-05,24.98550371997515
0.44,0.08754247081438664,0.0011500199472737,-0.23000000000000007,-1.2181467302349363e-09,5e-05,5e-05,24.984185894188457
0.46,0.08756647125612894,0.0012000220871151177,-0.24000000000000007,2.1398414177029323e-09,5e-05,5e-05,24.982810770170175
